gene,coef_Intercept,coef_diagnosis,coef_age,coef_Hemisphere_Var,pval_Intercept,pval_diagnosis,pval_age,pval_Hemisphere_Var
'ENCODE_ID_101927151',8.24238974470122,-0.4176005183331365,-0.01344885550062772,8.111040360230186e-07,7.354926999841838e-148,0.02778873752568879,0.014025713972752605,nan
'ENCODE_ID_23239',7.574752759826786,-0.04323959398513375,-0.013263629513969264,9.271472632947207e-07,9.59811136756094e-199,0.7736273563665655,0.002178610867462305,nan
'ENCODE_ID_90233',7.259250919144998,-0.030777222565029363,0.01035441897117875,9.965733984136707e-07,9.871100467311274e-180,0.8391998891556921,0.017592753884810727,nan
'ENCODE_ID_7639',5.892106806807601,0.13012682868091982,-0.009313743328336004,0.12918903555557926,4.40750620305203e-80,0.42079872309979083,0.05243246608005205,0.604668550205582
'ENCODE_ID_147727',6.020219102601342,-0.04217685575674424,-0.008031250468551219,0.019144134003204256,1.7414341972179196e-160,0.7417016180965752,0.0355862787303927,0.801261226386222
'ENCODE_ID_339318',6.62096484554041,0.1415080532349363,0.010038505081135915,5.947581760549557e-07,9.040217665010356e-187,0.2952748248497781,0.010314348308025783,nan
'ENCODE_ID_90007',6.379651393597895,-0.3164702743536933,-0.01202674579576864,5.946886087024603e-07,1.0439488628390055e-109,0.0636444245648235,0.014889597848278438,nan
'ENCODE_ID_10055',7.499214295354835e-17,-0.2551747855005788,-0.010084381244108744,0.0,nan,0.11831778783621247,0.03671677875688767,nan
'ENCODE_ID_100073347',6.201425847685471,0.08516122363504086,-0.009432166653704247,8.881005464376315e-07,2.5659166175262737e-141,0.5602659080064869,0.025135123220054158,nan
'ENCODE_ID_162966',4.479947454642403,-0.24614751228707668,0.011896425256914277,7.142584278675262e-07,1.6183092767816916e-64,0.11780929204942056,0.00888378121479349,nan
'ENCODE_ID_105372521',7.75933046107143,0.202923296455067,0.011383743984584374,4.295439837678077e-05,1.9912494366225946e-198,0.22621062994352314,0.005022269326372157,nan
'ENCODE_ID_107984088',1.3432531215919847e-18,-0.005237569568409372,0.007433148957641892,0.0,nan,0.9663835762460447,0.042954479696927346,nan
'ENCODE_ID_100131496',2.3318808451214314e-17,-0.08106854000068035,0.016523039667797695,0.0,nan,0.6983946416426923,0.007523481357308639,nan
'ENCODE_ID_105372524',5.889063081270413,-0.04373520996841627,0.009815512514208998,1.3995625352232015e-06,7.258393003994606e-125,0.7684717012146539,0.020638689472121708,nan
'ENCODE_ID_148252',8.003841351742619,-0.17576868889896785,-0.01638754125086988,0.12682322984980182,8.336603820932042e-96,0.381292643532398,0.005992087312199298,0.5970847631181739
'ENCODE_ID_9935',7.81271867393852e-17,-0.2656273775042105,-0.012960322190259008,0.0,nan,0.19212059569045525,0.03126141376707912,nan
'ENCODE_ID_80336',7.992739087325143e-17,-0.2718513657674415,-0.012078346345859973,0.0,nan,0.09907389582510749,0.013138255960436584,nan
'ENCODE_ID_387522',4.255390892506023e-17,-0.1445358442165507,-0.008711056906208941,0.0,nan,0.3100269831659158,0.03839794908607193,nan
'ENCODE_ID_81027',4.5535299914786735,0.0939635543075567,0.013160740706605795,6.067917879277727e-07,2.5993501646218397e-55,0.5870899627563506,0.008580926357050545,nan
'ENCODE_ID_9454',5.210708186582691,-0.31310994955916677,-0.01002748263626731,0.028975913623290148,5.0845156439094405e-112,0.015898707685154834,0.011771925112120525,0.8729867604756125
'ENCODE_ID_63934',8.881411131658972,-0.23178181510460508,-0.008947770064394013,7.744287638024583e-07,0.0,0.035377171634369035,0.004889295991043985,nan
'ENCODE_ID_64092',3.9263391826679506,0.11523994585995943,0.009701024205940718,0.15391251035420053,1.5595573131574079e-46,0.4086743984996293,0.019618565116839463,0.6930210846872804
'ENCODE_ID_1299',1.0338432270883061e-16,-0.35162028234051834,-0.015776995181257317,0.0,nan,0.052473311732067075,0.0032327604251516542,nan
'ENCODE_ID_27296',5.06992444283811,-0.01335677770501362,0.012900913343894265,0.061608152059933,1.8083297743023821e-81,0.9271785041612283,0.003056548068004185,0.6805485676206136
'ENCODE_ID_102723390',5.053806407455202,-0.17391496789205782,0.010392043474032922,7.793877357765971e-07,9.975945084367043e-83,0.2660289480215223,0.021283048457980142,nan
'ENCODE_ID_10520',7.595655541794984,-0.15829295135363583,-0.013875377267399082,6.793770761543257e-07,3.0946677869542864e-123,0.40878069781035264,0.012247925296821706,nan
